On 19-Feb-2025, Trades: 5540390, Value: 12606.0
On 03-Jun-2025, Trades: 6891892, Value: 19422.0
On 04-Jun-2025, Trades: 5929981, Value: 19206.0
On 05-Jun-2025, Trades: 6078640, Value: 19716.0
On 06-Jun-2025, Trades: 6328705, Value: 20966.0
On 09-Jun-2025, Trades: 6775526, Value: 20121.0
On 10-Jun-2025, Trades: 6199339, Value: 19674.0
On 11-Jun-2025, Trades: 6781175, Value: 20637.0
On 12-Jun-2025, Trades: 6261174, Value: 18207.0
On 13-Jun-2025, Trades: 5721234, Value: 16927.0
On 16-Jun-2025, Trades: 5804223, Value: 15684.0
On 17-Jun-2025, Trades: 5069223, Value: 15085.0
On 18-Jun-2025, Trades: 4721674, Value: 14454.0
On 19-Jun-2025, Trades: 5404672, Value: 14895.0
On 20-Jun-2025, Trades: 4869543, Value: 16046.0
On 23-Jun-2025, Trades: 5271295, Value: 16092.0
On 24-Jun-2025, Trades: 5297318, Value: 17107.0
On 25-Jun-2025, Trades: 5417143, Value: 16637.0
On 26-Jun-2025, Trades: 5211270, Value: 16860.0
On 27-Jun-2025, Trades: 5824052, Value: 19685.0
On 30-Jun-2025, Trades: 6116635, Value: 18249.0
On 01-Jul-2025, Trades: 5879044, Value: 17568.0
On 02-Jul-2025, Trades: 5668568, Value: 16760.0
On 03-Jul-2025, Trades: 5297549, Value: 15932.0
On 04-Jul-2025, Trades: 5495126, Value: 16839.0
On 07-Jul-2025, Trades: 5289006, Value: 13726.0
On 08-Jul-2025, Trades: 5244925, Value: 14954.0
On 09-Jul-2025, Trades: 5250001, Value: 15975.0
On 10-Jul-2025, Trades: 4947742, Value: 14363.0
On 11-Jul-2025, Trades: 5209256, Value: 15514.0
On 14-Jul-2025, Trades: 5548008, Value: 15922.0
On 15-Jul-2025, Trades: 5494370, Value: 16757.0
On 16-Jul-2025, Trades: 5306002, Value: 16636.0
On 17-Jul-2025, Trades: 5268796, Value: 16174.0
On 18-Jul-2025, Trades: 5354034, Value: 16035.0
On 21-Jul-2025, Trades: 5502124, Value: 15514.0
On 22-Jul-2025, Trades: 5037486, Value: 15920.0
On 23-Jul-2025, Trades: 5229794, Value: 15478.0
On 24-Jul-2025, Trades: 5223496, Value: 16232.0
On 25-Jul-2025, Trades: 5499325, Value: 15719.0
On 28-Jul-2025, Trades: 5814213, Value: 14928.0
On 29-Jul-2025, Trades: 4993566, Value: 14871.0
On 30-Jul-2025, Trades: 5173924, Value: 15406.0
On 31-Jul-2025, Trades: 5507530, Value: 16528.0
On 01-Aug-2025, Trades: 5814817, Value: 16389.0
On 04-Aug-2025, Trades: 5431602, Value: 13874.0
On 05-Aug-2025, Trades: 4872869, Value: 14234.0
On 06-Aug-2025, Trades: 5113506, Value: 14194.0
On 07-Aug-2025, Trades: 5131585, Value: 14352.0
On 08-Aug-2025, Trades: 4916524, Value: 14353.0
On 11-Aug-2025, Trades: 5399693, Value: 13194.0
On 12-Aug-2025, Trades: 4813993, Value: 12949.0
On 13-Aug-2025, Trades: 5068935, Value: 14487.0
On 14-Aug-2025, Trades: 4673100, Value: 13213.0
On 18-Aug-2025, Trades: 5705465, Value: 15332.0
On 19-Aug-2025, Trades: 5195320, Value: 14661.0
On 20-Aug-2025, Trades: 5277110, Value: 16573.0
On 21-Aug-2025, Trades: 5274283, Value: 16103.0
On 22-Aug-2025, Trades: 4809709, Value: 13966.0
On 25-Aug-2025, Trades: 5152573, Value: 14267.0
On 26-Aug-2025, Trades: 5007282, Value: 14838.0
On 28-Aug-2025, Trades: 5020729, Value: 14420.0
On 29-Aug-2025, Trades: 4645742, Value: 13351.0
On 01-Sep-2025, Trades: 5702066, Value: 15465.0
On 02-Sep-2025, Trades: 5522980, Value: 15925.0
On 03-Sep-2025, Trades: 6165467, Value: 17215.0
On 04-Sep-2025, Trades: 5495519, Value: 16261.0
On 05-Sep-2025, Trades: 5057251, Value: 14369.0
On 08-Sep-2025, Trades: 5587729, Value: 14720.0
On 09-Sep-2025, Trades: 5000440, Value: 13291.0
On 10-Sep-2025, Trades: 5575561, Value: 16664.0
On 11-Sep-2025, Trades: 5289100, Value: 16641.0
On 12-Sep-2025, Trades: 5217431, Value: 16759.0
On 15-Sep-2025, Trades: 5705963, Value: 16211.0
On 16-Sep-2025, Trades: 5354431, Value: 16029.0
On 17-Sep-2025, Trades: 5698915, Value: 17841.0
On 18-Sep-2025, Trades: 5092348, Value: 16614.0
On 19-Sep-2025, Trades: 5219604, Value: 18836.0
On 22-Sep-2025, Trades: 6014612, Value: 18851.0
On 23-Sep-2025, Trades: 5413369, Value: 17572.0
On 24-Sep-2025, Trades: 5190846, Value: 16241.0
On 25-Sep-2025, Trades: 4888854, Value: 14868.0
On 26-Sep-2025, Trades: 5676467, Value: 15300.0
On 29-Sep-2025, Trades: 5509148, Value: 15634.91
On 30-Sep-2025, Trades: 4801645, Value: 14709.64
On 01-Oct-2025, Trades: 5276044, Value: 16874.85
On 03-Oct-2025, Trades: 5709463, Value: 18111.64
On 06-Oct-2025, Trades: 6026112, Value: 16828.75
On 07-Oct-2025, Trades: 5228917, Value: 16122.23
On 08-Oct-2025, Trades: 5271160, Value: 15489.46
On 09-Oct-2025, Trades: 5106695, Value: 16111.19
On 10-Oct-2025, Trades: 5302768, Value: 16383.7
On 13-Oct-2025, Trades: 5368815, Value: 16039.65
On 14-Oct-2025, Trades: 5863409, Value: 19431.5
On 15-Oct-2025, Trades: 5275510, Value: 16341.45
On 16-Oct-2025, Trades: 5484419, Value: 18298.29
On 17-Oct-2025, Trades: 5519190, Value: 17762.65
On 20-Oct-2025, Trades: 5460908, Value: 16463.0
On 21-Oct-2025, Trades: 2150565, Value: 4793.0
On 23-Oct-2025, Trades: 5528974, Value: 16661.0
On 24-Oct-2025, Trades: 4723268, Value: 14363.0
On 27-Oct-2025, Trades: 5610049, Value: 16274.02
On 28-Oct-2025, Trades: 5499572, Value: 17548.53
On 29-Oct-2025, Trades: 5333491, Value: 18786.54
On 30-Oct-2025, Trades: 5003666, Value: 17131.71
On 31-Oct-2025, Trades: 5116030, Value: 17838.59
On 03-Nov-2025, Trades: 5993705, Value: 16699.99
On 04-Nov-2025, Trades: 5088216, Value: 15992.95
On 06-Nov-2025, Trades: 5789327, Value: 16741.36
On 07-Nov-2025, Trades: 5360088, Value: 17180.71
On 10-Nov-2025, Trades: 5992142, Value: 17154.0
On 11-Nov-2025, Trades: 5210326, Value: 16346.0
On 12-Nov-2025, Trades: 5410343, Value: 18527.0
On 13-Nov-2025, Trades: 5399800, Value: 17987.0
On 14-Nov-2025, Trades: 5002643, Value: 16818.0
On 17-Nov-2025, Trades: 5580560, Value: 16857.25
On 18-Nov-2025, Trades: 5091195, Value: 16536.63
On 19-Nov-2025, Trades: 5296382, Value: 16486.75
On 20-Nov-2025, Trades: 4869495, Value: 15829.38
On 21-Nov-2025, Trades: 4632886, Value: 14418.34
On 24-Nov-2025, Trades: 5030237, Value: 14475.8
On 25-Nov-2025, Trades: 4214952, Value: 12255.28
On 26-Nov-2025, Trades: 4430365, Value: 14684.71
On 27-Nov-2025, Trades: 4390502, Value: 13609.66
On 28-Nov-2025, Trades: 4351675, Value: 13540.3
On 01-Dec-2025, Trades: 5561717, Value: 15158.57
On 02-Dec-2025, Trades: 4450494, Value: 13810.34
On 03-Dec-2025, Trades: 5114879, Value: 14470.33
On 04-Dec-2025, Trades: 4393603, Value: 13412.33
On 05-Dec-2025, Trades: 4460661, Value: 13420.57
On 08-Dec-2025, Trades: 5708177, Value: 15698.22
On 09-Dec-2025, Trades: 5136176, Value: 16017.82
On 10-Dec-2025, Trades: 4830130, Value: 14891.54
On 11-Dec-2025, Trades: 4203779, Value: 13255.58
On 12-Dec-2025, Trades: 4309350, Value: 14234.55
On 15-Dec-2025, Trades: 4939064, Value: 14041.61
On 16-Dec-2025, Trades: 4533476, Value: 13495.36
On 17-Dec-2025, Trades: 4555913, Value: 14433.66
On 18-Dec-2025, Trades: 4763353, Value: 14700.65
On 19-Dec-2025, Trades: 4810467, Value: 16226.2
On 22-Dec-2025, Trades: 5389127, Value: 16733.0
On 23-Dec-2025, Trades: 5071414, Value: 15800.0
On 24-Dec-2025, Trades: 4900684, Value: 19780.0
On 26-Dec-2025, Trades: 5009869, Value: 15718.0
On 29-Dec-2025, Trades: 5792096, Value: 18781.0
On 30-Dec-2025, Trades: 4981156, Value: 16327.0
On 31-Dec-2025, Trades: 5154654, Value: 17789.0
On 01-Jan-2026, Trades: 4970290, Value: 14896.0
On 02-Jan-2026, Trades: 5538801, Value: 18761.0
On 05-Jan-2026, Trades: 5902551, Value: 17345.0
On 06-Jan-2026, Trades: 5345520, Value: 17232.0
On 07-Jan-2026, Trades: 4969489, Value: 16402.0
On 08-Jan-2026, Trades: 5524882, Value: 16653.0
On 09-Jan-2026, Trades: 5180198, Value: 16094.0
On 12-Jan-2026, Trades: 5703381, Value: 16160.0
On 13-Jan-2026, Trades: 4452758, Value: 14913.0
On 14-Jan-2026, Trades: 4522118, Value: 15948.0
On 16-Jan-2026, Trades: 5223321, Value: 17395.0
On 19-Jan-2026, Trades: 5248329, Value: 16468.0
On 20-Jan-2026, Trades: 5698091, Value: 18763.0
On 21-Jan-2026, Trades: 5790924, Value: 19552.0
On 22-Jan-2026, Trades: 5363320, Value: 19416.0
On 23-Jan-2026, Trades: 5249786, Value: 17736.0
On 27-Jan-2026, Trades: 5513816, Value: 17345.0
On 28-Jan-2026, Trades: 5152230, Value: 19614.0
On 29-Jan-2026, Trades: 5675251, Value: 21454.0
On 30-Jan-2026, Trades: 6420615, Value: 24557.0
On 01-Feb-2026, Trades: 5850797, Value: 18011.0
On 02-Feb-2026, Trades: 6057775, Value: 18469.0
On 03-Feb-2026, Trades: 6118567, Value: 21782.0
On 04-Feb-2026, Trades: 5744645, Value: 19021.0
On 05-Feb-2026, Trades: 5184487, Value: 16104.0
On 06-Feb-2026, Trades: 4530834, Value: 14920.0
On 09-Feb-2026, Trades: 5338227, Value: 16440.0
On 10-Feb-2026, Trades: 4733128, Value: 15806.0
On 11-Feb-2026, Trades: 4706290, Value: 15348.0
On 12-Feb-2026, Trades: 4871514, Value: 15201.0
On 13-Feb-2026, Trades: 4841683, Value: 15636.0
